,location_ID,lowerLeft_lon,lowerLeft_lat,upperRight_lon,upperRight_lat
132,3107802,-42.47188655902045,-19.825867684196794,-42.3157265526063,-19.578808178317274
133,3111200,-45.2758613611232,-20.914490167615668,-45.267789449933275,-20.8953162458046
134,3113404,-42.15967671194187,-19.805980522904576,-42.12891696495137,-19.77601044720558
135,3118601,-44.15885403199928,-19.976434383479784,-44.011779863306856,-19.81250174436002
136,3119401,-42.66029848657166,-19.535701314531252,-42.58967586795109,-19.46586656406157
137,3124104,-44.31648748597735,-19.8343056765587,-44.147563881190194,-19.7592007437738
138,3127701,-41.99086711960433,-18.91111586902889,-41.93987197134879,-18.8408210137178
139,3129806,-44.07161810892836,-20.029243849178272,-44.02943618166165,-19.99093492957246
140,3131307,-42.583773687619896,-19.49121444468858,-42.5199339329107,-19.42683938203129
141,3131703,-43.235881679636805,-19.648060527840812,-43.20501741523867,-19.622116528908748
142,3132701,-41.68923739330421,-18.04054095258124,-41.6822673820424,-18.0343299628962
143,3135209,-44.368702801986615,-15.4969712890545,-44.3598053349032,-15.4878728139879
144,3136702,-43.45115136496594,-21.811679600413356,-43.31341182708786,-21.65432334266569
145,3139409,-42.0338482904372,-20.261345988447772,-42.024648063409245,-20.246011926416656
146,3139508,-41.9626798073714,-20.3639991114518,-41.949558154338945,-20.343550687700656
147,3140555,-40.7385334084693,-15.6876678048477,-40.73651729923216,-15.681518593324085
148,3143302,-43.88621497654077,-16.768532892003066,-43.84239172901397,-16.67639171674807
149,3147105,-44.6166462110192,-19.882420283763906,-44.6053801878937,-19.8647379639463
150,3147907,-46.6114125680355,-20.738879748308477,-46.59853386901108,-20.7192119018634
151,3154309,-41.25952956727053,-19.3254839308532,-41.2539671081682,-19.313540495012262
152,3154606,-44.15424467025264,-19.82999570541091,-43.98468362780983,-19.759241856820495
153,3156700,-43.89209894110422,-19.923914238671387,-43.79580184047114,-19.865328974366548
154,3157807,-43.94542978784983,-19.82661245054078,-43.827227869072885,-19.74072399605552
155,3162955,-43.976400373695526,-19.72183286718564,-43.9599562982337,-19.6986268215191
156,3168705,-42.709448000293264,-19.611605996769583,-42.5749402399793,-19.525571513970533
157,3171204,-43.97610668929502,-19.783894789047338,-43.9199151867378,-19.6930304397713
158,3201209,-41.1802487114237,-20.882128244255682,-41.08850038880939,-20.81834403797029
159,3201308,-40.41911149142561,-20.390448520294115,-40.356300286824705,-20.27858796845925
160,3201506,-40.67245722231701,-19.5362700836217,-40.61532538292067,-19.484044580024886
161,3202405,-40.53314036982698,-20.696485453339108,-40.48076382066631,-20.62449271400959
162,3205002,-40.285452835898184,-20.227115663317363,-40.18830644701694,-20.058046151624865
163,3205101,-40.49936679057015,-20.39738443082848,-40.42100670468369,-20.336927463341965
164,3205200,-40.382807992496,-20.45297761836622,-40.2939566369471,-20.3275812789376
165,3205309,-40.34797277527474,-20.320764113085318,-40.26622943811543,-20.24013416177928
166,3300100,-44.54822407242568,-23.05137173885265,-44.162979865162924,-22.901199485808945
167,3300209,-42.367399577282185,-22.8895468749472,-42.24277633643868,-22.694733240442247
168,3300233,-41.96895996232382,-22.7577637929238,-41.8877494680881,-22.74236411132108
169,3300258,-42.03147251556862,-22.969750536819504,-42.01778379286776,-22.96249173190506
170,3300308,-43.847311234552876,-22.480548764307912,-43.8284524538255,-22.469596292124
171,3300407,-44.20216382240528,-22.56964666349336,-44.101806327776046,-22.507196556472366
172,3300456,-43.414371103952305,-22.76676784321228,-43.3200815176171,-22.709405201810284
173,3300704,-42.046711528254434,-22.906483098958574,-41.990809384928696,-22.57455797530929
174,3300803,-42.7511581324315,-22.603487195476646,-42.641408858670275,-22.455915753862712
175,3301009,-41.39991746193539,-21.83139429602204,-41.25095866410584,-21.64445251897041
176,3301306,-42.204210544431,-22.577460317724274,-41.98961779762902,-22.4795365025548
177,3301702,-43.33091445400578,-22.807606355137693,-43.213468205852394,-22.646742362861232
178,3301900,-42.942354900578664,-22.790796844700935,-42.85263774982752,-22.731393423079226
179,3302007,-43.851794358466236,-22.903740900615958,-43.74417816774053,-22.84357407510055
180,3302254,-44.60471561702019,-22.506327976867283,-44.49642227277934,-22.429102296687915
181,3302270,-43.66956407107017,-22.685664109276104,-43.59551667138476,-22.640146707219344
182,3302403,-41.79656164701208,-22.389673662699693,-41.748721155859414,-22.306279868168474
183,3302502,-43.22484481298477,-22.687508218559913,-43.01469333749759,-22.55242207007467
184,3302601,-44.16559252875771,-23.03475012286816,-43.884746191212,-22.8966042632033
185,3302700,-42.9440749618783,-22.949637677174167,-42.68523020862756,-22.903634386713463
186,3302858,-43.439169827071964,-22.8107566334416,-43.402806952203946,-22.768087922635
187,3303203,-43.4166099808637,-22.820544479391174,-43.40089621934561,-22.798841873805543
188,3303302,-43.13058283223859,-22.95146492057262,-42.9748833415062,-22.865135717354065
189,3303401,-42.5327712629633,-22.291818538811583,-42.52593581118276,-22.2864614591961
190,3303500,-43.60472236370174,-22.82570478739666,-43.4102426609561,-22.680781230425453
191,3303609,-43.72810709062202,-22.641224517691796,-43.70058770432513,-22.6097271620663
192,3303906,-43.25193972557912,-22.554876120243136,-43.12016369100269,-22.335093221484215
193,3303955,-44.031574916036845,-22.5156739857918,-44.0003545569539,-22.48819067950751
194,3304003,-43.90394754751111,-22.6287569098054,-43.88335053155606,-22.622562031555333
195,3304144,-43.57128513088389,-22.730067481565015,-43.549867350477484,-22.689728281324108
196,3304300,-42.695187012904796,-22.71910272345258,-42.586612032480616,-22.701462377956318
197,3304524,-41.9369671271608,-22.523941185805,-41.90384896556418,-22.47431106041745
198,3304904,-43.09745757333337,-22.862696797379385,-42.953857893033046,-22.77685019734139
199,3305109,-43.41070801514019,-22.81076676250558,-43.32929030809851,-22.75590265084037
200,3305208,-42.167913316423835,-22.86758328970592,-42.03697655434621,-22.8372031947556
201,3305554,-43.74026196204534,-22.86471414036771,-43.62855831402561,-22.713614137725415
202,3305604,-42.39562718687171,-22.676368178986706,-42.38577104910519,-22.6543301984185
203,3305752,-42.731375338360124,-22.7339374343164,-42.7211719484129,-22.727748968219544
204,3305802,-43.01423074153416,-22.447638020686384,-42.75120240965231,-22.12872121967024
205,3306107,-44.06957596803437,-22.2447194311794,-43.7048436783271,-22.227069813247056
206,3306305,-44.142507501536386,-22.533609929557997,-44.03111219866497,-22.460025981990498
207,3504107,-46.58570099960923,-23.116308,-46.5550625006743,-23.10978999995598
208,3505708,-46.89709599977539,-23.548703000297223,-46.80882500021619,-23.479878999654886
209,3506003,-49.1179920002665,-22.36151000030236,-49.01371600037561,-22.27722343620212
210,3506359,-46.18288899965495,-23.87767524772738,-45.847855999836156,-23.74565499955594
211,3508504,-45.736929071971474,-23.11683875022402,-45.7077303650875,-23.089295044460755
212,3509007,-46.76224899091028,-23.384604970460316,-46.73548288304033,-23.334245846126294
213,3509205,-46.8829201465695,-23.40879445416647,-46.84442701087585,-23.34470798484773
214,3509502,-47.187704999555876,-23.050659000064115,-47.011785000331315,-22.834111999562822
215,3510401,-47.523647417193104,-23.015430558782157,-47.48387885296762,-22.991141326773175
216,3510609,-46.859995000056585,-23.584169467838592,-46.81438959664132,-23.52094499958423
217,3512803,-47.199875200822476,-22.6457848858527,-47.196311743401395,-22.634437354121758
218,3513009,-46.9318463278886,-23.603514,-46.820574000413046,-23.583285999957354
219,3513504,-46.489550000135125,-23.935756999614455,-46.36747700004503,-23.850147999557237
220,3513801,-46.63560699963949,-23.738047596738568,-46.57760799976825,-23.657340999813243
221,3515004,-46.86511300035653,-23.683144565113878,-46.792713000348044,-23.62401528022906
222,3515707,-46.39505542773253,-23.561613000052887,-46.35381599984504,-23.516106612892372
223,3516309,-46.7638039996379,-23.295819724175658,-46.69567999978693,-23.267601999933845
224,3518800,-46.56170399959569,-23.507568999931266,-46.367191405945505,-23.362000000438968
225,3519071,-47.2210966097575,-22.89445599961192,-47.170288999832394,-22.853664999768625
226,3519501,-50.07912539457,-22.82023346235718,-50.065627663931366,-22.8145429597087
227,3522208,-46.86339800044124,-23.75143399974877,-46.789509000143426,-23.705329999609944
228,3522505,-46.947881999901085,-23.558372999987455,-46.915563405876526,-23.533513999808747
229,3523107,-46.37320609146252,-23.510201985505944,-46.29876518263126,-23.426109999619314
230,3523909,-47.32264875029034,-23.370586962797063,-47.29645499973816,-23.251218000117944
231,3524402,-46.072876999754726,-23.32806299908094,-45.926079167540934,-23.201609000288556
232,3525003,-46.9084630003498,-23.545950000197706,-46.89445085536687,-23.529939
233,3525904,-47.01900400035339,-23.25077000015108,-46.8472109998138,-23.144124999875373
234,3526407,-47.84906328486653,-23.0540116065372,-47.8337807102663,-23.04191699998404
235,3529005,-49.98120900021689,-22.255043000137903,-49.91724000034162,-22.141711000081784
236,3529203,-51.1707680574885,-22.147832475,-51.15974400040653,-22.143666894194496
237,3529401,-46.48746000002069,-23.706454056818416,-46.41357732825202,-23.63611900001399
238,3534401,-46.820594000435676,-23.58059700011006,-46.76145099999064,-23.479049000065572
239,3534609,-50.886092999921686,-21.7970835,-50.8731391102634,-21.79051199970428
240,3536505,-47.195630253355375,-22.7599217,-47.1543858009695,-22.739472662393837
241,3538709,-47.70241700010581,-22.757536999556066,-47.6468462361582,-22.659813000417103
242,3540705,-47.507505840422084,-21.858362505,-47.481409643358,-21.84566202023177
243,3541000,-46.50522000031293,-24.023183999838295,-46.4120495836124,-23.99505589573465
244,3541307,-52.12405367995325,-21.768781995,-52.09640315991396,-21.75841620012193
245,3543303,-46.458591000255126,-23.707423,-46.4153443749185,-23.67739699982326
246,3543402,-47.87145699964657,-21.218875000227456,-47.75080100012417,-21.10244600040238
247,3545803,-47.4139547662303,-22.7553935,-47.38110100037045,-22.730139000149393
248,3547304,-46.9220925056497,-23.449453,-46.899366000093266,-23.403403999761167
249,3547809,-46.558890000281565,-23.743299999816486,-46.48197099970605,-23.623407000392206
250,3548500,-46.39634000043338,-23.965997999672027,-46.3262980003027,-23.920538999587848
251,3548708,-46.63179900037085,-23.78842699988502,-46.516593000264606,-23.669288000144036
252,3549904,-45.9154109860487,-23.28476799982434,-45.8841754014597,-23.162631000381396
253,3551009,-46.4943379996123,-23.993398790574304,-46.35722283493885,-23.93299800103705
254,3551900,-48.81118424571969,-20.81017499955243,-48.8015339794314,-20.80910189343348
255,3552403,-47.28162599965668,-22.849953000428627,-47.15351785717138,-22.8085530003915
256,3552502,-46.3312470000069,-23.65989000040156,-46.288640000089174,-23.490546478776594
257,3552700,-48.69830600039205,-21.737068000260933,-48.6867876140157,-21.7325145
258,3552809,-46.81206108643221,-23.646874038927137,-46.77675899966931,-23.617178214178978
259,3553401,-49.6488201993718,-20.6251121361351,-49.63161973950707,-20.608914959990273
260,3554805,-45.5507468823468,-22.98858696712489,-45.53377630397796,-22.9604152053933
261,3556503,-46.854224000232534,-23.2144665,-46.81078999996447,-23.188505800979954
262,3557006,-47.504857282187174,-23.577095398058134,-47.434186628078976,-23.539559869317202
263,3557105,-49.9759351204296,-20.43906300036076,-49.973802839589325,-20.41947
264,4100400,-49.30435701512107,-25.34853222054096,-49.233680472252274,-25.3133776022763
265,4101804,-49.43120000036879,-25.591645,-49.385399999854144,-25.529118000479684
266,4104105,-49.69072735432826,-25.99041781330442,-49.68666837136834,-25.979213403857614
267,4104204,-49.55561899978346,-25.467527643519986,-49.40925372977455,-25.431503000069995
268,4104253,-49.4276649679895,-25.38376102155172,-49.35464973441577,-25.3679565
269,4105805,-49.2274379772727,-25.38706700037784,-49.17125300026743,-25.2943402945361
270,4106902,-49.38933863643945,-25.624331999928756,-49.18522500041428,-25.34673602983287
271,4108304,-54.595729999919115,-25.57694700009546,-54.50468500019173,-25.475953999554235
272,4111258,-49.3619601604147,-25.233434009575944,-49.32698798724027,-25.2128749144336
273,4112702,-50.9740548451338,-23.257265121515,-50.96768114647432,-23.251057303861785
274,4118204,-48.55238388030631,-25.53781211525893,-48.514592159900246,-25.500038039551043
275,4119905,-50.233770999838725,-25.107310999961157,-50.13668899971685,-25.046750999847745
276,4128104,-53.31243800014914,-23.778763999618207,-53.3084598047956,-23.76395
277,4202008,-48.6346174770265,-27.01007466095524,-48.58948804114203,-26.9918186052546
278,4202107,-48.70488998463264,-26.653472693005654,-48.683864274324,-26.6343614082893
279,4202404,-49.16506596238145,-26.96615275150657,-49.03823744003057,-26.741070181303883
280,4202800,-49.1645477089486,-28.281581998812555,-49.14859787955311,-28.27381103899569
281,4205407,-48.601311887414795,-27.688937799905148,-48.38896846466798,-27.445659884702934
282,4205902,-48.99973742528539,-26.998046999532335,-48.903446834844544,-26.891281979335815
283,4208203,-48.708238874609435,-26.973566846852407,-48.6530468746289,-26.883342894862892
284,4209102,-48.849409143238,-26.359304992318243,-48.755372357453496,-26.20304900920803
