location,RF_min_split,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
3306305,10,0.2706825748026724,0.2792629120166104,0.3656133197417601,0.1881118881118881,0.9104546681578034,0.5492832781348458,0.912274736484189,0.316656856974691,47218,2777,1867,1076
3504107,10,0.3608697382560129,0.308411214953271,0.55,0.2462686567164179,0.9277539341917024,0.5870112954540602,0.9294199860237596,0.3952095808383233,1297,74,27,33
3505708,50,0.1156153610453931,0.0821771611526147,0.336980306345733,0.0707395498392283,0.9483810058431784,0.5095602778412033,0.9485830474011946,0.1321321321321321,37168,1720,303,154
3506003,50,0.1315487658374166,0.0842942345924453,0.4721603563474387,0.0770348837209302,0.955690461237876,0.516362672479403,0.9558537263626252,0.1430499325236167,54784,2303,237,212
3506359,10,0.6201938102306249,0.5232071045576407,0.8005383925137803,0.4628668840794545,0.9738886366748096,0.7183777603771321,0.9744632417975452,0.6328216040938339,270295,5691,1556,6245
3508504,10,0.3981224508396564,0.3345724907063197,0.6451612903225806,0.282574568288854,0.90900039824771,0.595787483268282,0.912149173394848,0.4406364749082007,4565,358,99,180
3509007,50,0.0740158404056242,0.0467625899280575,0.3170731707317073,0.0424836601307189,0.9667913408137822,0.5046375004722505,0.9668401991851516,0.0815047021943573,8530,265,28,13
3509205,10,0.2635955292491662,0.2589285714285714,0.2788461538461538,0.1550802139037433,0.9901887729756582,0.5726344934397007,0.990206409223331,0.2685185185185185,15946,83,75,29
3509502,10,0.2803776677519691,0.2911022000650266,0.3219851354591225,0.1804743667271383,0.9503535129458598,0.565413939836499,0.9508904305391704,0.305765837554784,233480,6541,5656,2686
3510401,50,0.1256311946470579,0.109404990403071,0.475,0.0976027397260274,0.8357999688424989,0.4667013542842631,0.838665238022348,0.1778471138845553,5365,928,126,114
3512803,10,0.3034825870646766,0.2575757575757575,0.7083333333333334,0.2328767123287671,0.8210862619808307,0.5269814871547989,0.8303030303030303,0.3777777777777777,257,49,7,17
3513009,100,0.0422547946939624,0.0245700245700245,0.3333333333333333,0.0234192037470726,0.9726198292843072,0.4980195165156899,0.9726377952755906,0.045766590389016,14813,397,20,10
3515004,50,0.141539509586775,0.1177067478437341,0.6361974405850092,0.1102836317540801,0.7924521327714941,0.4513678822627871,0.7976576576576576,0.1986584843727701,21439,5217,398,696
3515707,10,0.2484352337321928,0.3208430913348946,0.2455197132616487,0.1615566037735849,0.9411910669975186,0.5513738353855517,0.9418500040893104,0.2781725888324873,11379,290,421,137
3516309,50,0.0722996728853793,0.0652291105121293,0.3865814696485623,0.0591108939912066,0.8461046743907311,0.4526077841909688,0.8475783475783476,0.1116236162361623,10589,1734,192,121
