location,xsize,ysize,pixels_slum,proportion_slums,NM_MUNICIP,CD_UF,SG_UF,Name_UF,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage,RME_DS,RME_CD,RME_NM,metropolitan,left_half_slums,left_half_slum_discounting_border,right_half_slums,right_half_slum_discounting_border,proportion_slums_left,proportion_slums_right
3129806,143,149,1739,0.0816163702069742,IBIRITÉ,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}",Ibirité,8.0,Belo Horizonte,1.0,802,139,937,12,0.07578907578907579,0.08736596736596737
3131703,98,110,462,0.0428571428571428,ITABIRA,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",,,,0.0,265,0,197,0,0.04916512059369202,0.03654916512059369
3135209,34,33,52,0.0463458110516934,JANUÁRIA,31,MG,Minas Gerais,2010-09-25 00:00:00,LT52190712010268CUB00,LT05_L2SP_219071_20100925_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.90124, -16.80919], [-45.90124, -14.97141], [-43.83595, -14.97141], [-43.83595, -16.80919], [-45.90124, -16.80919]]]}","{'type': 'Polygon', 'coordinates': [[[-45.90124, -16.55983], [-44.18624, -16.80919], [-43.83595, -15.21888], [-45.53793, -14.97141], [-45.90124, -16.55983]]]}",,,,0.0,52,0,0,0,0.09558823529411764,0.0
3136702,586,482,1013,0.0035864500870944,JUIZ DE FORA,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170752010238CUB00,LT05_L2SP_217075_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.58338], [-44.14845, -20.73922], [-42.00792, -20.73922], [-42.00792, -22.58338], [-44.14845, -22.58338]]]}","{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.3252], [-42.37276, -22.58338], [-42.00792, -20.99468], [-43.76486, -20.73922], [-44.14845, -22.3252]]]}",,,,0.0,569,440,444,185,0.004029003158058714,0.003143897016130174
3139409,58,34,34,0.0172413793103448,MANHUAÇU,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",,,,0.0,24,0,10,0,0.02434077079107505,0.010141987829614604
3139508,77,48,449,0.1214826839826839,MANHUMIRIM,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",,,,0.0,116,0,333,0,0.06277056277056277,0.18019480519480519
3143302,341,158,860,0.0159619881955529,MONTES CLAROS,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180722010261CUB00,LT05_L2SP_218072_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.68905, -18.26487], [-44.68905, -16.4257], [-42.60738, -16.4257], [-42.60738, -18.26487], [-44.68905, -18.26487]]]}","{'type': 'Polygon', 'coordinates': [[[-44.68905, -18.01357], [-42.96074, -18.26487], [-42.60738, -16.6749], [-44.3213, -16.4257], [-44.68905, -18.01357]]]}",,,,0.0,469,134,391,47,0.017409703403986784,0.014514272987119046
3147105,66,41,424,0.1566888396156688,PARÁ DE MINAS,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}",Pará de Minas,8.0,Belo Horizonte,1.0,318,0,106,0,0.2409090909090909,0.07647907647907648
3147907,74,47,239,0.0687176538240368,PASSOS,31,MG,Minas Gerais,2010-08-24 00:00:00,LT52190742010236CUB00,LT05_L2SP_219074_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-46.89205, -21.14987], [-46.89205, -19.30752], [-44.77284, -19.30752], [-44.77284, -21.14987], [-46.89205, -21.14987]]]}","{'type': 'Polygon', 'coordinates': [[[-46.89205, -20.89417], [-45.13345, -21.14987], [-44.77284, -19.56071], [-46.5142, -19.30752], [-46.89205, -20.89417]]]}",,,,0.0,0,0,239,0,0.0,0.13457207207207209
3154606,266,594,2773,0.0175501886028201,RIBEIRÃO DAS NEVES,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}",Ribeirão das Neves,8.0,Belo Horizonte,1.0,1766,736,1007,317,0.022353864459127615,0.012746512746512747
